id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules,heure_plage_imputed,heure_num,is_pointe,is_nuit,dispo_ordinal,ville_encoded,vitesse_kmh,log_distance,log_duree,log_prix_eco
1,Douala,Marché de Bonamoussadi,Russian International School Douala,6.0,3.457,750.0,850.0,950.0,13h–14h,vert,0,13,0,0,0,0,34.56999999999999,1.4944758939644187,1.9459101490553132,6.621405651764134
3,Douala,Akwa Palace,Logbaba yuliana,33.0,9.347,1750.0,2350.0,2850.0,13h–14h,vert,0,13,0,0,0,0,16.994545454545452,2.3366966226228136,3.5263605246161616,7.467942332285852
4,Douala,Santa lucia bonaberie,Lycée des Palmiers,47.0,14.393,2600.0,3500.0,4300.0,14h–15h,vert,0,14,0,0,0,0,18.37404255319149,2.7339128606279375,3.871201010907891,7.8636512654486515
5,Douala,Marché de Bonamoussadi,Collège évangélique de newbell,34.0,9.964,2650.0,2800.0,3150.0,13h–14h,jaune,0,13,0,0,1,0,17.583529411764708,2.3946171784405395,3.5553480614894135,7.8826922062890254
6,Douala,Marché de Bonamoussadi,Hôtel la Falaise Bonanjo,26.0,8.911,1700.0,2300.0,2800.0,13h–14h,vert,0,13,0,0,0,0,20.563846153846153,2.2936452514245715,3.295836866004329,7.438971592395862
7,Douala,Santa lucia bonaberie,Le forgeron de bonateki,22.0,7.679,1400.0,1900.0,2350.0,14h–15h,vert,0,14,0,0,0,0,20.942727272727275,2.1609063146621077,3.1354942159291497,7.244941546337007
8,Douala,Akwa Palace,Marché Mboppi,15.0,3.005,950.0,1200.0,1450.0,13h–14h,jaune,0,13,0,0,1,0,12.02,1.3875435805203225,2.772588722239781,6.85751406254539
9,Douala,Marché de Bonamoussadi,Poste Centrale De Bonandjo,29.0,9.267,1800.0,2400.0,2950.0,13h–14h,vert,0,13,0,0,0,0,19.17310344827586,2.3289348683168276,3.4011973816621555,7.496097345175956
10,Douala,Marché de Bonamoussadi,Corner Cafe Bonanjo,29.0,9.033,1800.0,2400.0,2950.0,13h–14h,vert,0,13,0,0,0,0,18.688965517241378,2.305879659943476,3.4011973816621555,7.496097345175956
11,Douala,Marché de Bonamoussadi,Akwa idéal,8.0,7.102,1000.0,1100.0,1200.0,13h–14h,vert,0,13,0,0,0,0,53.265,2.0921109447804986,2.1972245773362196,6.90875477931522
