id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules
1,Douala,Marché de Bonamoussadi,Russian International School Douala,6.0,3.457,750.0,850.0,950.0,13h–14h,vert
2,Douala,Marché de Bonamoussadi,Maetur Mimboman,2.0,1.448,54450.0,76150.0,93950.0,13h–14h,vert
3,Douala,Akwa Palace,Logbaba yuliana,33.0,9.347,1750.0,2350.0,2850.0,13h–14h,vert
4,Douala,Santa lucia bonaberie,Lycée des Palmiers,47.0,14.393,2600.0,3500.0,4300.0,14h–15h,vert
5,Douala,Marché de Bonamoussadi,Collège évangélique de newbell,34.0,9.964,2650.0,2800.0,3150.0,13h–14h,jaune
6,Douala,Marché de Bonamoussadi,Hôtel la Falaise Bonanjo,26.0,8.911,1700.0,2300.0,2800.0,13h–14h,vert
7,Douala,Santa lucia bonaberie,Le forgeron de bonateki,22.0,7.679,1400.0,1900.0,2350.0,14h–15h,vert
8,Douala,Akwa Palace,Marché Mboppi,15.0,3.005,950.0,1200.0,1450.0,13h–14h,jaune
9,Douala,Marché de Bonamoussadi,Poste Centrale De Bonandjo,29.0,9.267,1800.0,2400.0,2950.0,13h–14h,vert
10,Douala,Marché de Bonamoussadi,Corner Cafe Bonanjo,29.0,9.033,1800.0,2400.0,2950.0,13h–14h,vert
11,Douala,Marché de Bonamoussadi,Akwa idéal,8.0,7.102,1000.0,1100.0,1200.0,13h–14h,vert
12,Douala,Marché de Bonamoussadi,"Carrefour du centre équestre, Bonaberi",27.0,10.222,2250.0,3100.0,3750.0,13h–14h,vert
13,Douala,Akwa Nord,Mboppi Baptist Hospital,21.0,5.769,1250.0,1700.0,2100.0,14h–15h,vert
14,Douala,Akwa Palace,Derrière Total Bonatéki Deido,14.0,3.131,850.0,1150.0,1400.0,13h–14h,vert
15,Douala,Akwa Palace,Pk 17 dernière la chefferie,64.0,16.293,4050.0,5500.0,6700.0,13h–14h,jaune
16,Douala,Santa lucia bonaberie,"Lendi, station service Bocom",73.0,18.693,4250.0,5700.0,6950.0,14h–15h,orange
17,Douala,Akwa Nord,Stade de Japoma,63.0,20.259,4850.0,6250.0,7600.0,14h–15h,jaune
18,Douala,Santa lucia bonaberie,Hôpital De District Cité Des Palmiers,47.0,13.859,2550.0,3400.0,4200.0,14h–15h,jaune
19,Douala,Marché de Bonamoussadi,Cnps Bonanjo,33.0,9.557,1900.0,2600.0,3150.0,13h–14h,vert
20,Douala,Marché de Bonamoussadi,Marché de Mambanda,29.0,7.614,2400.0,3300.0,4000.0,13h–14h,vert
21,Douala,Santa lucia bonaberie,Collège évangélique de newbell,41.0,11.355,2200.0,2900.0,3550.0,14h–15h,vert
22,Douala,Marché de Bonamoussadi,Lycée de Makepe,14.0,4.03,900.0,1200.0,1450.0,13h–14h,vert
23,Douala,Marché de Bonamoussadi,Akwa I,23.0,7.102,1950.0,2050.0,2350.0,13h–14h,vert
24,Douala,Akwa Palace,Total Bessengue,8.0,1.98,650.0,750.0,900.0,13h–14h,jaune
25,Douala,Santa lucia bonaberie,Rond-Point Deido,16.0,6.138,1100.0,1500.0,1850.0,14h–15h,vert
26,Douala,Marché de Bonamoussadi,Makepe Missoke,21.0,7.944,2050.0,2200.0,2300.0,13h–14h,vert
27,Douala,Akwa Palace,Hôpital De District De Logbaba,30.0,8.287,1700.0,2150.0,2650.0,13h–14h,jaune
28,Douala,Marché de Bonamoussadi,Douche Akwa,23.0,7.614,2100.0,2250.0,2550.0,13h–14h,vert
29,Douala,Santa lucia bonaberie,Compagnie de Gendarmerie Ndogbon,41.0,11.012,2500.0,3400.0,4150.0,14h–15h,vert
30,Douala,Akwa Palace,Marché Ndogpassi,23.0,24.115,2250.0,3200.0,3850.0,13h–14h,vert
31,Douala,Akwa Palace,Akwa I,4.0,0.691,450.0,650.0,800.0,13h–14h,vert
32,Douala,Akwa Nord,Derrière Total Bonatéki Deido,2.0,2.077,450.0,650.0,850.0,13h–14h,vert
33,Douala,Marché de Bonamoussadi,Bonaberi,32.0,12.118,2200.0,3050.0,3700.0,13h–14h,vert
34,Douala,Marché de Bonamoussadi,Missoke Palace,17.0,5.219,1900.0,2000.0,2000.0,13h–14h,vert
35,Douala,Santa lucia bonaberie,Cite des Palmiers,48.0,13.859,2600.0,3500.0,4300.0,14h–15h,jaune
36,Douala,Santa lucia bonaberie,Hôtel Deido Plage,21.0,7.212,1350.0,1800.0,2200.0,14h–15h,vert
37,Douala,Akwa Palace,Maison H,13.0,3.649,800.0,1100.0,1350.0,13h–14h,vert
38,Douala,Marché de Bonamoussadi,Akwa Palace,24.0,7.888,2400.0,2550.0,2600.0,13h–14h,vert
39,Douala,Akwa Nord,Rond-Point Deido,11.0,3.135,650.0,900.0,1150.0,13h–14h,vert
40,Douala,Akwa Nord,Corner Cafe Bonanjo,22.0,6.739,1400.0,1750.0,2150.0,13h–14h,jaune
41,Douala,Santa lucia bonaberie,Logbessou nickel oil,32.0,15.465,1950.0,2600.0,3200.0,14h–15h,vert
42,Douala,Akwa Nord,Bonanjo Immeuble Allianz,22.0,7.08,1400.0,1750.0,2150.0,13h–14h,vert
43,Douala,Santa lucia bonaberie,Maison Blanche,31.0,10.296,1900.0,2550.0,3100.0,14h–15h,vert
44,Douala,Akwa Nord,Hospital de Japoma,48.0,21.31,3400.0,4650.0,5700.0,14h–15h,vert
45,Douala,Santa lucia bonaberie,Chefferie Kotto Village,41.0,14.062,2400.0,3250.0,3950.0,14h–15h,vert
46,Douala,Marché de Bonamoussadi,Gare Routière Sodiko Bonaberi,31.0,13.37,2900.0,4050.0,4950.0,13h–14h,vert
47,Douala,Marché de Bonamoussadi,Mosquée de Maképé Missoké,18.0,5.385,1850.0,1950.0,2000.0,13h–14h,jaune
48,Douala,Santa lucia bonaberie,Hospital de Japoma,63.0,29.47,3950.0,4900.0,5950.0,14h–15h,jaune
49,Douala,Santa lucia bonaberie,Aéroport international de Douala,36.0,14.848,2450.0,3350.0,4050.0,14h–15h,vert
50,Douala,Akwa Palace,"Logpom, Carrefour Bassong",33.0,11.492,2500.0,2750.0,3350.0,13h–14h,vert
51,Douala,Marché de Bonamoussadi,Makepe St Tropez,13.0,3.815,850.0,1200.0,1450.0,13h–14h,vert
52,Douala,Santa lucia bonaberie,Zachman Ndogbong,56.0,13.202,4300.0,5900.0,7150.0,14h–15h,vert
53,Douala,Marché de Bonamoussadi,Akwa Nord,9.0,2.628,1300.0,1400.0,1400.0,13h–14h,vert
54,Douala,Akwa Palace,Hôtel Deido Plage,14.0,3.168,850.0,1100.0,1400.0,13h–14h,vert
55,Douala,Akwa Palace,"Opium Night Club, Bonapriso Douala",11.0,3.997,850.0,1150.0,1400.0,13h–14h,vert
56,Douala,Akwa Palace,Mboppi Baptist Hospital,13.0,5.635,750.0,1000.0,1200.0,13h–14h,orange
57,Douala,Marché de Bonamoussadi,Rail bonaberi,35.0,14.244,3150.0,4400.0,5300.0,13h–14h,vert
58,Douala,Akwa Palace,Total énergie logbaba,32.0,9.347,1800.0,2400.0,2950.0,13h–14h,vert
59,Douala,Akwa Nord,Poste Centrale De Bonandjo,22.0,6.972,1300.0,1750.0,2150.0,13h–14h,vert
60,Douala,Santa lucia bonaberie,Lendi derrière école felima,49.0,18.693,3100.0,4150.0,5100.0,14h–15h,vert
61,Douala,Santa lucia bonaberie,Ndogbong Biffaga,40.0,13.202,2450.0,3300.0,4050.0,14h–15h,vert
62,Douala,Akwa Nord,Bonaberi Rail Daas,28.0,9.824,2800.0,3300.0,4050.0,13h–14h,jaune
63,Douala,Akwa Nord,Chefferie du Village Japoma,56.0,17.387,3950.0,5350.0,6550.0,14h–15h,vert
64,Douala,Santa lucia bonaberie,Logbessou chefferie,46.0,15.465,2850.0,3900.0,4750.0,14h–15h,vert
65,Douala,Marché de Bonamoussadi,Marché de Bonamoussadi,1.0,0.0,450.0,650.0,800.0,13h–14h,vert
66,Douala,Marché de Bonamoussadi,Douala 5e,40.0,0.328,2700.0,3700.0,4550.0,13h–14h,vert
67,Douala,Marché de Bonamoussadi,Poste Centrale Bonajo,33.0,9.267,1850.0,2500.0,3100.0,13h–14h,vert
68,Douala,Akwa Palace,Douala 3e,54.0,8.296,3550.0,4800.0,5850.0,13h–14h,jaune
69,Douala,Santa lucia bonaberie,New Bell Bassa,39.0,10.525,2300.0,2800.0,3400.0,14h–15h,vert
70,Douala,Akwa Nord,Cnps Bonanjo,23.0,7.263,1450.0,1850.0,2250.0,13h–14h,vert
71,Douala,Akwa Palace,Gendarmerie pk17,32.0,16.293,1850.0,2500.0,3050.0,13h–14h,vert
72,Douala,Santa lucia bonaberie,Cheval blanc bonamoussadi,46.0,11.831,2550.0,3350.0,4150.0,14h–15h,jaune
73,Douala,Santa lucia bonaberie,École la Citadelle Ndogbong,38.0,12.464,2250.0,3000.0,3650.0,14h–15h,vert
74,Douala,Akwa Palace,Résidence Blue Sky,9.0,2.734,700.0,800.0,1000.0,13h–14h,jaune
75,Douala,Akwa Nord,"Carrefour du centre équestre, Bonaberi",21.0,7.927,1850.0,2450.0,3000.0,13h–14h,jaune
76,Douala,Santa lucia bonaberie,Collège évangélique de newbell,40.0,11.355,2350.0,2900.0,3550.0,14h–15h,vert
77,Douala,Santa lucia bonaberie,Communaute bandjoun douala newbell,41.0,11.101,2400.0,2950.0,3600.0,14h–15h,jaune
78,Douala,Santa lucia bonaberie,Marché Monkam de Ndokoti,37.0,10.96,2100.0,2800.0,3450.0,14h–15h,vert
79,Douala,Akwa Palace,Hôtel Deido Plage,15.0,3.168,850.0,1150.0,1400.0,13h–14h,vert
